brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
dqn_s2042,dqn,2042,1029,120.37,61.9,43.08,131,3.621,2957,382.8,134.7,-24.658,309,0,245.99,163.0,174.49,5.013,0.284,0.0,0,0,33,37,-461551.12,-260715.36,-466691.12,3620,-51831.0,1920
dqn_s2042,dqn,2042,1030,119.21,59.4,41.07,136,3.784,2960,380.3,133.7,-23.359,336,0,248.74,165.85,178.32,5.403,0.274,0.0031,11,1,38,38,-455051.23,-249258.9,-460621.23,3620,-49474.6,1919
dqn_s4042,dqn,4042,1001,123.57,57.02,38.4,117,4.041,2879,386.8,135.2,-21.535,402,0,282.66,199.83,234.66,6.448,0.209,0.0003,1,1,34,37,-466340.17,-236082.82,-472692.17,3620,-46859.7,1936
dqn_s4042,dqn,4042,1002,125.03,57.78,38.54,126,4.112,2878,387.9,135.7,-21.547,399,0,284.28,201.48,236.4,6.569,0.203,0.0006,2,1,34,37,-471009.15,-238431.19,-477289.15,3620,-47317.2,1959
dqn_s4042,dqn,4042,1003,124.84,56.77,38.03,118,4.195,2885,388.5,135.8,-21.202,400,0,284.97,202.07,234.61,6.721,0.191,0.0,0,0,30,37,-469274.65,-233539.07,-474520.65,3620,-46347.8,1948
dqn_s4042,dqn,4042,1004,122.63,56.87,38.6,120,4.04,2902,385.2,134.8,-21.64,398,0,280.2,197.25,229.42,6.442,0.204,0.0022,8,2,36,37,-462865.15,-235243.31,-470651.15,3620,-46698.7,1923
dqn_s4042,dqn,4042,1005,125.79,57.86,38.39,122,4.163,2872,389.1,136.0,-21.552,400,0,286.88,203.83,238.26,6.669,0.195,0.0014,5,1,35,37,-474840.75,-239559.15,-481088.75,3620,-47587.6,1970
dqn_s4042,dqn,4042,1006,123.39,57.72,38.76,111,4.101,2878,385.6,135.0,-21.684,398,0,280.78,197.99,229.85,6.514,0.228,0.0,0,0,31,37,-466149.61,-238256.71,-472161.61,3620,-47270.8,1944
dqn_s4042,dqn,4042,1007,122.39,56.28,37.67,129,4.032,2883,384.3,134.4,-21.13,397,0,279.65,196.7,228.77,6.419,0.201,0.0033,12,2,35,37,-461927.75,-232882.43,-469513.75,3620,-46232.8,1953
dqn_s4042,dqn,4042,1008,129.97,61.4,40.78,118,4.295,2851,396.7,139.0,-22.874,400,0,292.44,209.41,247.56,6.875,0.206,0.0,0,0,33,37,-491444.01,-253890.91,-499784.01,3620,-50368.4,1965
dqn_s4042,dqn,4042,1009,125.5,57.23,38.37,126,4.151,2878,387.7,135.6,-21.48,400,0,284.75,201.72,239.09,6.616,0.222,0.0019,7,2,35,37,-472736.28,-236443.6,-480288.28,3620,-46912.8,1947
dqn_s4042,dqn,4042,1010,120.61,54.19,36.88,111,3.962,2905,382.6,133.6,-20.494,399,0,277.36,194.6,226.66,6.322,0.215,0.0,0,0,32,37,-451729.9,-222492.99,-457597.9,3620,-44144.5,1918
