t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
425,3,3,3,2,2,2,0,3,3
426,3,3,3,2,2,2,0,3,3
427,0,0,0,2,2,2,0,0,0
428,0,0,0,2,2,2,0,0,0
429,0,0,0,2,2,3,0,0,0
430,0,0,0,2,2,3,0,0,0
431,0,0,0,2,2,3,0,0,0
432,0,0,0,2,2,0,1,0,0
433,0,0,0,2,2,0,1,0,0
434,0,0,0,3,3,0,1,0,0
435,0,0,0,3,3,0,2,0,0
436,0,0,0,3,3,0,2,0,0
437,1,1,1,0,0,0,2,1,1
438,1,1,1,0,0,0,2,1,1
439,1,1,1,0,0,0,2,1,1
440,2,2,2,0,0,0,2,2,2
441,2,2,2,0,0,0,2,2,2
442,2,2,2,0,0,0,2,2,2
443,2,2,2,0,0,0,2,2,2
444,2,2,2,0,0,0,2,2,2
445,2,2,2,0,0,0,3,2,2
446,2,2,2,0,0,0,3,2,2
447,2,2,2,1,1,0,3,2,2
448,2,2,2,1,1,0,0,2,2
449,2,2,2,1,1,0,0,2,2
450,3,3,3,2,2,0,0,3,3
451,3,3,3,2,2,0,0,3,3
452,3,3,3,2,2,1,0,3,3
453,0,0,0,2,2,1,0,0,0
454,0,0,0,2,2,1,0,0,0
455,0,0,0,2,2,2,0,0,0
456,0,0,0,2,2,2,0,0,0
457,0,0,0,2,2,2,0,0,0
458,0,0,0,2,2,2,1,0,0
459,0,0,0,2,2,2,1,0,0
460,0,0,0,3,3,2,1,0,0
461,0,0,0,3,3,2,2,0,0
462,0,0,0,3,3,2,2,0,0
463,1,1,1,0,0,2,2,1,1
464,1,1,1,0,0,2,2,1,1
465,1,1,1,0,0,3,2,1,1
466,2,2,2,0,0,3,2,2,2
467,2,2,2,0,0,3,2,2,2
468,2,2,2,0,0,0,2,2,2
469,2,2,2,0,0,0,2,2,2
470,2,2,2,0,0,0,2,2,2
471,2,2,2,0,0,0,3,2,2
472,2,2,2,0,0,0,3,2,2
473,2,2,2,1,1,0,3,2,2
474,2,2,2,1,1,0,0,2,2
475,2,2,2,1,1,0,0,2,2
476,3,3,3,2,2,0,0,3,3
477,3,3,3,2,2,0,0,3,3
478,3,3,3,2,2,0,0,3,3
479,0,0,0,2,2,0,0,0,0
480,0,0,0,2,2,0,0,0,0
481,0,0,0,2,2,0,0,0,0
482,0,0,0,2,2,0,0,0,0
483,0,0,0,2,2,0,0,0,0
484,0,0,0,2,2,0,1,0,0
485,0,0,0,2,2,0,1,0,0
486,0,0,0,3,3,0,1,0,0
487,0,0,0,3,3,0,2,0,0
488,0,0,0,3,3,0,2,0,0
489,1,1,1,0,0,0,2,1,1
490,1,1,1,0,0,0,2,1,1
491,1,1,1,0,0,0,2,1,1
492,2,2,2,0,0,0,2,2,2
493,2,2,2,0,0,1,2,2,2
494,2,2,2,0,0,1,2,2,2
495,2,2,2,0,0,1,2,2,2
496,2,2,2,0,0,2,2,2,2
497,2,2,2,0,0,2,3,2,2
498,2,2,2,0,0,2,3,2,2
499,2,2,2,1,1,2,3,2,2
500,2,2,2,1,1,2,0,2,2
501,2,2,2,1,1,2,0,2,2
502,3,3,3,2,2,2,0,3,3
503,3,3,3,2,2,2,0,3,3
504,3,3,3,2,2,2,0,3,3
505,0,0,0,2,2,2,0,0,0
506,0,0,0,2,2,3,0,0,0
507,0,0,0,2,2,3,0,0,0
508,0,0,0,2,2,3,0,0,0
509,0,0,0,2,2,0,0,0,0
510,0,0,0,2,2,0,1,0,0
511,0,0,0,2,2,0,1,0,0
512,0,0,0,3,3,0,1,0,0
513,0,0,0,3,3,0,2,0,0
514,0,0,0,3,3,0,2,0,0
515,1,1,1,0,0,0,2,1,1
516,1,1,1,0,0,0,2,1,1
517,1,1,1,0,0,0,2,1,1
518,2,2,2,0,0,0,2,2,2
519,2,2,2,0,0,0,2,2,2
520,2,2,2,0,0,0,2,2,2
521,2,2,2,0,0,0,2,2,2
522,2,2,2,0,0,0,2,2,2
523,2,2,2,0,0,0,3,2,2
524,2,2,2,0,0,0,3,2,2
525,2,2,2,1,1,0,3,2,2
526,2,2,2,1,1,0,0,2,2
527,2,2,2,1,1,0,0,2,2
528,3,3,3,2,2,0,0,3,3
529,3,3,3,2,2,1,0,3,3
530,3,3,3,2,2,1,0,3,3
531,0,0,0,2,2,1,0,0,0
532,0,0,0,2,2,2,0,0,0
533,0,0,0,2,2,2,0,0,0
534,0,0,0,2,2,2,0,0,0
535,0,0,0,2,2,2,0,0,0
536,0,0,0,2,2,2,1,0,0
537,0,0,0,2,2,2,1,0,0
538,0,0,0,3,3,2,1,0,0
539,0,0,0,3,3,2,2,0,0
540,0,0,0,3,3,2,2,0,0
