verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
30,,15,0/15/15,36.9,17.06,1.26,2507.0,281.47,2.55,2001-2003
15,,15,0/5/5,36.99,14.83,1.55,2499.67,288.87,4.05,2001-2003
35,,15,0/10/0,37.02,16.96,1.2,2502.33,282.27,2.54,2001-2003
15,,15,0/35/0,37.03,14.82,1.63,2499.67,288.83,2.3,2001-2003
15,,20,0/20/20,37.04,16.72,1.3,2503.0,283.47,3.27,2001-2003
20,,15,0/30/30,37.08,16.41,1.38,2500.33,285.5,3.57,2001-2003
30,,15,0/40/40,37.08,17.63,1.28,2502.67,282.43,2.96,2001-2003
35,,15,0/15/15,37.14,17.83,1.15,2500.0,280.3,2.24,2001-2003
35,,20,0/23/0,37.15,16.73,1.15,2498.0,281.67,3.68,2001-2003
15,,20,0/25/25,37.18,16.94,1.32,2502.33,284.37,2.35,2001-2003
15,,20,0/23/23,37.2,16.76,1.32,2502.33,283.6,2.76,2001-2003
30,,15,0/5/5,37.22,16.82,1.25,2506.33,283.0,3.21,2001-2003
15,,15,0/5/10,37.23,15.23,1.46,2502.0,288.87,2.01,2001-2003
15,,15,0/35/34,37.28,14.91,1.64,2499.33,289.3,3.49,2001-2003
30,,15,0/5/0,37.32,16.86,1.23,2506.0,283.73,3.71,2001-2003
15,,15,0/30/30,37.34,15.35,1.51,2498.67,288.93,3.09,2001-2003
35,,15,0/10/10,37.45,17.68,1.18,2498.67,281.9,1.92,2001-2003
30,,20,0/15/0,37.5,16.82,1.22,2502.0,283.6,3.57,2001-2003
25,,15,0/15/15,37.53,16.71,1.3,2503.33,285.1,2.84,2001-2003
30,,20,0/25/25,37.55,18.0,1.13,2501.33,281.43,3.01,2001-2003
20,,20,0/20/20,37.56,17.47,1.26,2502.67,284.37,1.61,2001-2003
25,,15,0/10/20,37.56,16.78,1.39,2503.0,284.8,2.76,2001-2003
25,,20,0/40/0,37.56,17.62,1.28,2501.67,283.2,2.64,2001-2003
35,,15,0/5/10,37.6,18.14,1.19,2502.0,281.73,2.83,2001-2003
35,,20,0/20/0,37.64,17.1,1.18,2497.33,282.9,4.1,2001-2003
25,,10,0/0/0,37.65,16.64,1.42,2499.0,286.7,2.28,2001-2003
25,,15,0/5/0,37.69,16.74,1.32,2500.67,285.77,2.92,2001-2003
30,,15,0/0/0,37.74,17.78,1.25,2506.0,283.43,4.41,2001-2003
20,,20,0/25/25,37.75,17.86,1.24,2500.33,283.57,1.8,2001-2003
35,,10,0/10/20,37.8,17.97,1.23,2505.33,281.53,3.24,2001-2003
35,,20,0/20/40,37.82,17.5,1.17,2497.0,282.43,2.43,2001-2003
20,,20,0/23/23,37.87,17.86,1.25,2502.0,283.63,2.97,2001-2003
35,,20,0/40/19,37.96,17.72,1.22,2505.33,282.93,2.24,2001-2003
25,,15,0/30/30,37.97,17.77,1.28,2506.0,284.53,2.99,2001-2003
15,,20,0/15/15,38.01,17.27,1.35,2504.0,286.83,4.38,2001-2003
35,,15,0/40/40,38.05,18.65,1.2,2504.67,281.47,3.75,2001-2003
25,,20,0/10/0,38.06,17.07,1.27,2503.67,285.33,1.98,2001-2003
30,,20,0/30/30,38.12,18.53,1.14,2502.67,282.83,5.07,2001-2003
30,,20,0/23/23,38.13,18.32,1.19,2501.0,282.73,2.52,2001-2003
30,,15,0/10/10,38.33,17.8,1.29,2506.0,284.3,1.52,2001-2003
35,,20,0/20/20,38.34,18.62,1.14,2499.33,281.83,4.42,2001-2003
25,,20,0/25/25,38.39,18.67,1.17,2502.33,283.7,3.6,2001-2003
25,,10,0/40/40,38.41,17.27,1.46,2498.67,287.8,2.62,2001-2003
20,,20,0/35/0,38.44,17.61,1.38,2507.0,285.93,3.4,2001-2003
25,,15,0/40/34,38.45,17.67,1.46,2505.67,287.1,4.42,2001-2003
35,,15,0/15/30,38.55,18.2,1.23,2498.67,283.67,4.21,2001-2003
35,,20,0/40/40,38.56,19.08,1.19,2503.33,282.8,3.13,2001-2003
35,,20,0/0/0,38.62,19.13,1.26,2495.33,283.57,3.78,2001-2003
20,,15,0/10/10,38.65,16.78,1.44,2503.33,289.47,3.47,2001-2003
25,,10,0/40/39,38.7,17.49,1.47,2499.0,288.47,3.07,2001-2003
20,,15,0/35/29,38.71,16.7,1.56,2499.67,289.67,2.4,2001-2003
35,,10,0/40/29,38.72,19.03,1.32,2505.0,283.97,4.62,2001-2003
25,,20,0/23/23,38.86,18.59,1.18,2503.67,285.87,4.58,2001-2003
25,,15,0/35/35,38.97,18.46,1.4,2507.0,287.17,2.22,2001-2003
20,,20,0/10/0,39.01,17.65,1.32,2503.67,287.83,4.1,2001-2003
30,,15,0/40/29,39.05,18.49,1.39,2503.33,286.17,3.56,2001-2003
35,,15,0/10/20,39.05,18.9,1.25,2497.0,284.57,2.8,2001-2003
35,,20,0/5/0,39.13,18.92,1.27,2495.0,284.93,3.13,2001-2003
