variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,47,2089,5.00e-04,16.9,3620,69.57,166.65,42.4,119,-55746.3,-23.247,-60.729,2045,1447,593,6.377,2785,445.8,156.6,35,0.0,4,3,34,37,328.39,246.1,289.7,9.457,0.074,0,0.0,0.563,0.16813,-22.2836,93847,94846,,,-620950.94,-280394.62,-624834.94,,,,dqn,retraso
vecinos,2042,48,2090,5.00e-04,17.2,3620,72.28,178.61,44.43,138,-58229.0,-24.487,-65.878,2026,1432,591,6.769,2776,462.3,162.6,0,0.0,0,0,32,37,324.44,241.41,273.46,9.468,0.096,0,0.0,0.5535,0.17128,-22.2791,95873,96872,,,-667342.19,-292908.04,-669620.19,,,,dqn,retraso
vecinos,2042,49,2091,5.00e-04,17.0,3620,70.88,162.01,43.18,155,-57561.1,-24.004,-59.004,2063,1491,564,5.989,2804,441.5,155.3,9,0.0081,29,2,38,38,320.49,237.75,278.27,8.818,0.082,0,0.0,0.544,0.17537,-22.5486,97936,98935,,,-608626.39,-289358.84,-614326.39,,,,dqn,retraso
vecinos,2042,50,2092,5.00e-04,16.5,3620,62.77,156.56,38.84,122,-50287.3,-21.254,-57.465,2024,1443,575,5.875,2812,430.9,151.0,0,0.0,0,0,31,37,309.07,226.09,263.63,8.587,0.079,0,0.0,0.5345,0.16768,-22.5298,99960,100959,164.46,90.1,-581549.75,-252911.83,-584517.75,164.46,161.97,163.215,dqn,retraso
vecinos,2042,51,2093,5.00e-04,16.1,3620,60.26,153.01,37.94,111,-48058.0,-20.661,-57.305,1979,1392,583,5.984,2833,426.3,149.1,0,0.0,0,0,32,37,305.72,222.85,256.1,8.79,0.078,0,0.0,0.525,0.16376,-22.615,101939,102938,,,-567033.66,-242129.08,-569423.66,,,,dqn,retraso
vecinos,2042,52,2094,5.00e-04,16.2,3620,63.13,152.18,39.24,121,-51046.7,-21.667,-56.178,2025,1466,554,5.59,2849,426.5,149.3,0,0.0019,7,2,37,38,313.54,230.51,268.05,8.505,0.101,0,0.0,0.5155,0.16357,-22.4684,103964,104963,,,-568806.66,-257214.27,-572568.66,,,,dqn,retraso
vecinos,2042,53,2095,5.00e-04,17.1,3620,69.52,172.14,42.66,148,-55798.7,-23.425,-62.926,2037,1446,582,6.524,2789,453.6,159.3,0,0.0019,12,3,36,38,318.24,235.37,272.61,9.009,0.094,0,0.0,0.506,0.16376,-22.396,106001,107000,,,-640898.86,-280640.39,-644902.86,,,,dqn,retraso
vecinos,2042,54,2096,5.00e-04,16.7,3620,68.16,162.24,42.14,123,-54885.6,-23.217,-59.439,2039,1487,546,6.046,2811,441.2,154.9,0,0.0,0,0,29,38,315.19,232.21,266.15,8.74,0.1,0,0.0,0.4965,0.16371,-22.2691,108040,109039,,,-605981.23,-276093.21,-609629.23,,,,dqn,retraso
vecinos,2042,55,2097,5.00e-04,16.5,3620,67.56,156.66,41.62,133,-54982.0,-23.16,-57.537,2045,1485,551,5.711,2798,432.9,152.3,0,0.0006,2,2,35,38,312.57,229.58,261.66,8.538,0.096,0,0.0,0.487,0.15981,-22.3191,110085,111084,,,-588315.93,-276752.66,-595447.93,,,,dqn,retraso
vecinos,2042,56,2098,5.00e-04,16.3,3620,64.23,152.83,40.13,117,-51653.2,-22.074,-56.612,2016,1463,546,5.722,2821,427.8,149.9,0,0.0,3,1,35,37,307.14,224.36,261.74,8.392,0.086,0,0.0,0.4775,0.16222,-22.3289,112101,113100,,,-570650.96,-260425.29,-574674.96,,,,dqn,retraso
vecinos,2042,57,2099,5.00e-04,16.3,3620,66.54,155.44,41.73,139,-54312.9,-23.29,-57.992,2017,1480,528,5.612,2794,431.2,151.4,0,0.0,13,2,37,38,299.36,216.46,252.92,7.841,0.115,0,0.0,0.468,0.15989,-22.254,114118,115117,,,-584853.99,-273385.14,-590311.99,,,,dqn,retraso
vecinos,2042,58,2100,5.00e-04,16.9,3620,70.61,161.4,43.01,125,-57689.5,-24.057,-58.846,2067,1503,558,5.908,2771,439.0,154.5,15,0.005,28,6,37,38,327.24,244.72,286.83,9.084,0.118,0,0.0,0.4585,0.16045,-22.0541,116185,117184,,,-608176.92,-290014.55,-614684.92,,,,dqn,retraso
vecinos,2042,59,2101,5.00e-04,16.4,3620,67.13,153.78,42.19,139,-54914.3,-23.609,-57.609,2011,1469,531,5.557,2842,429.9,150.9,0,0.0,14,2,36,38,305.86,223.11,259.52,8.098,0.071,0,0.0,0.449,0.1593,-21.8698,118196,119195,,,-579260.42,-276279.02,-585444.42,,,,dqn,retraso
vecinos,2042,60,2102,5.00e-04,16.8,3620,66.81,158.02,42.01,132,-54060.0,-23.242,-58.947,2006,1459,537,5.786,2826,435.3,152.7,0,0.0003,1,1,34,37,309.19,226.16,259.89,8.271,0.108,0,0.0,0.4395,0.16099,-21.8196,120202,121201,130.59,71.92,-591239.44,-271892.81,-596729.44,130.59,125.14,127.865,dqn,retraso
vecinos,2042,61,2103,5.00e-04,16.1,3620,64.84,150.44,41.03,133,-52570.6,-22.758,-56.475,1998,1464,526,5.517,2822,424.7,149.0,0,0.0044,16,1,38,38,299.25,216.49,251.46,8.046,0.096,0,0.0,0.43,0.16202,-21.7645,122200,123199,,,-564184.13,-264630.92,-569516.13,,,,dqn,retraso
vecinos,2042,62,2104,5.00e-04,16.3,3620,69.87,152.7,43.84,138,-57285.8,-24.607,-56.895,2030,1517,502,5.344,2816,429.3,151.0,0,0.0,8,1,36,38,307.55,224.51,256.86,7.995,0.096,0,0.0,0.4205,0.15824,-21.6891,124230,125229,,,-577481.09,-288214.61,-584291.09,,,,dqn,retraso
vecinos,2042,63,2105,5.00e-04,16.2,3620,70.28,151.01,44.38,142,-58302.0,-25.174,-56.746,2027,1526,484,5.051,2825,427.3,150.2,0,0.0014,5,1,34,38,310.85,227.9,267.74,7.643,0.092,0,0.0,0.411,0.1568,-21.6234,126257,127256,,,-575120.65,-293538.34,-583890.65,,,,dqn,retraso
vecinos,2042,64,2106,5.00e-04,16.2,3620,67.86,151.76,42.41,148,-55685.4,-23.797,-56.424,2031,1502,518,5.248,2832,427.8,150.3,0,0.0047,17,1,38,38,300.97,218.01,254.91,7.623,0.085,0,0.0,0.4015,0.15577,-21.3831,128288,129287,,,-572981.11,-280125.48,-581333.11,,,,dqn,retraso
vecinos,2042,65,2107,5.00e-04,16.2,3620,67.13,149.3,42.87,142,-55468.9,-24.243,-56.542,2001,1500,484,5.186,2819,423.8,148.8,0,0.0025,9,1,37,38,300.06,217.17,252.3,7.699,0.102,0,0.0,0.392,0.15724,-21.2397,130289,131288,,,-565703.63,-278913.68,-572139.63,,,,dqn,retraso
vecinos,2042,66,2108,5.00e-04,16.2,3620,68.34,152.23,42.92,120,-56491.0,-24.266,-57.009,2024,1504,511,5.294,2838,428.3,150.2,0,0.0014,9,4,35,38,305.42,222.48,259.38,7.846,0.091,0,0.0,0.3825,0.16196,-21.4382,132313,133312,,,-576936.1,-284112.7,-583968.1,,,,dqn,retraso
vecinos,2042,67,2109,5.00e-04,15.8,3620,66.94,146.21,42.89,126,-55034.0,-24.117,-55.405,1996,1506,481,5.043,2850,419.4,147.4,0,0.0008,3,2,34,37,294.28,211.42,244.07,7.374,0.112,0,0.0,0.373,0.16096,-21.4547,134309,135308,,,-552945.23,-276730.36,-560277.23,,,,dqn,retraso
vecinos,2042,68,2110,5.00e-04,16.3,3620,69.6,152.55,44.26,137,-57791.7,-25.149,-57.618,2013,1522,480,5.134,2830,427.5,150.3,0,0.0042,25,3,37,38,297.42,214.46,246.52,7.285,0.104,0,0.0,0.3635,0.16087,-21.4041,136322,137321,,,-579920.49,-290565.09,-586706.49,,,,dqn,retraso
