variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,55,4097,5.00e-04,11.2,2152,8.57,25.0,4.38,20,-3516.7,-1.551,-4.09,1883,1232,647,0.885,2092,261.5,89.9,0,0.0,0,0,5,9,163.72,31.89,32.56,1.098,0.712,0,0.0,0.487,0.00305,-1.5282,102650,103649,,,-38505.75,-17635.03,-38505.75,,,,dqn,retraso
vecinos,4042,56,4098,5.00e-04,11.1,2152,7.97,24.14,4.43,19,-3537.1,-1.564,-4.093,1880,1233,642,0.855,2088,259.9,89.3,0,0.0,0,0,6,10,163.55,31.77,32.51,1.092,0.712,0,0.0,0.4775,0.00268,-1.5303,104530,105529,,,-38476.65,-17830.2,-38476.65,,,,dqn,retraso
vecinos,4042,57,4099,5.00e-04,11.3,2152,8.18,24.56,4.46,19,-3544.0,-1.567,-4.16,1875,1217,652,0.901,2093,261.1,89.7,0,0.0,0,0,6,9,163.73,31.96,32.77,1.141,0.691,0,0.0,0.468,0.00258,-1.524,106405,107404,,,-39000.14,-17892.07,-39000.14,,,,dqn,retraso
vecinos,4042,58,4100,5.00e-04,11.3,2152,8.63,25.0,4.49,22,-3592.3,-1.592,-4.173,1881,1244,631,0.902,2094,261.0,89.8,0,0.0,0,0,5,10,163.48,31.35,32.24,1.086,0.693,0,0.0,0.4585,0.00283,-1.5172,108286,109285,,,-39245.66,-18003.47,-39245.66,,,,dqn,retraso
vecinos,4042,59,4101,5.00e-04,11.0,2152,7.58,23.87,4.21,20,-3332.7,-1.477,-4.083,1867,1204,657,0.868,2094,260.1,89.3,0,0.0,0,0,5,9,163.37,31.26,31.71,1.104,0.694,0,0.0,0.449,0.00268,-1.5066,110153,111152,,,-38115.09,-16815.49,-38115.09,,,,dqn,retraso
vecinos,4042,60,4102,5.00e-04,11.1,2152,8.42,25.14,4.56,23,-3633.7,-1.609,-4.281,1875,1223,647,0.896,2089,261.8,89.9,0,0.0,0,0,5,10,166.3,33.37,34.4,1.154,0.688,0,0.0,0.4395,0.00271,-1.5138,112028,113027,21.96,7.12,-40136.06,-18275.89,-40136.06,21.96,21.22,21.59,dqn,retraso
vecinos,4042,61,4103,5.00e-04,11.0,2152,8.06,24.31,4.24,18,-3364.3,-1.483,-4.068,1872,1205,663,0.87,2096,260.5,89.5,0,0.0,0,0,6,9,162.91,30.77,30.87,1.06,0.718,0,0.0,0.43,0.0027,-1.5136,113900,114899,,,-38080.39,-17051.99,-38080.39,,,,dqn,retraso
vecinos,4042,62,4104,5.00e-04,11.3,2152,7.76,24.15,4.33,17,-3468.3,-1.531,-4.09,1879,1227,647,0.857,2093,260.2,89.4,0,0.0,0,0,5,10,162.96,31.27,32.11,1.075,0.711,0,0.0,0.4205,0.00261,-1.5012,115779,116778,,,-38427.04,-17395.27,-38427.04,,,,dqn,retraso
vecinos,4042,63,4105,5.00e-04,11.1,2152,8.35,24.38,4.48,18,-3608.9,-1.591,-4.128,1898,1273,620,0.844,2091,259.4,89.2,0,0.0,0,0,6,10,162.62,30.23,31.68,0.983,0.766,0,0.0,0.411,0.00241,-1.4932,117677,118676,,,-39177.92,-18121.76,-39177.92,,,,dqn,retraso
vecinos,4042,64,4106,5.00e-04,11.1,2152,7.9,24.24,4.14,17,-3348.9,-1.463,-4.041,1881,1190,686,0.894,2091,260.8,89.6,0,0.0,0,0,5,9,163.55,31.68,32.41,1.139,0.692,0,0.0,0.4015,0.00256,-1.4897,119558,120557,,,-38009.79,-16753.93,-38009.79,,,,dqn,retraso
