variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val,algoritmo,recompensa_tipo
vecinos,42,11,53,5.00e-04,5.4,1844,7.09,20.46,4.06,22,-3171.8,-4.327,-11.461,620,429,190,0.688,1810,190.1,65.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.6833,0.01103,-1.9723,5973,6972,,,-35530.51,-15929.22,-35530.51,,,dqn,retraso
vecinos,42,12,54,5.00e-04,5.5,1844,8.7,23.59,4.87,24,-3797.2,-5.173,-13.568,617,418,197,0.879,1803,195.8,67.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.6517,0.01315,-2.0319,6590,7589,,,-41857.89,-19052.64,-41857.89,,,dqn,retraso
vecinos,42,13,55,5.00e-04,5.6,1844,9.09,23.86,5.05,28,-3962.1,-5.383,-13.666,618,419,198,0.857,1805,196.9,67.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.62,0.01269,-2.0228,7208,8207,,,-42227.63,-19921.36,-42227.63,,,dqn,retraso
vecinos,42,14,56,5.00e-04,5.7,1844,6.8,19.97,3.91,24,-3057.1,-4.154,-11.203,623,431,190,0.678,1803,189.0,64.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.5883,0.01314,-2.0769,7831,8830,,,-34898.22,-15392.97,-34898.22,,,dqn,retraso
vecinos,42,15,57,5.00e-04,5.6,1844,6.47,19.31,3.75,18,-2911.2,-3.966,-10.8,622,431,188,0.659,1807,188.5,64.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.5567,0.01432,-2.1193,8453,9452,,,-33587.83,-14668.55,-33587.83,,,dqn,retraso
vecinos,42,16,58,5.00e-04,5.6,1844,6.61,19.58,3.8,18,-2951.8,-4.0,-10.955,624,431,192,0.67,1809,188.3,64.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.525,0.01397,-2.1155,9077,10076,,,-34179.2,-14972.32,-34179.2,,,dqn,retraso
vecinos,42,17,59,5.00e-04,5.5,1844,5.57,17.72,3.29,21,-2551.0,-3.471,-9.842,619,422,195,0.597,1808,184.5,63.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.4933,0.01421,-2.1976,9696,10695,,,-30459.81,-12882.81,-30459.81,,,dqn,retraso
vecinos,42,18,60,5.00e-04,5.7,1844,5.77,18.07,3.4,14,-2641.7,-3.599,-10.016,623,435,187,0.596,1805,185.0,63.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.4617,0.01414,-2.1892,10319,11318,,,-31199.73,-13311.83,-31199.73,,,dqn,retraso
vecinos,42,19,61,5.00e-04,5.5,1844,6.0,18.52,3.51,19,-2729.1,-3.713,-10.253,626,441,183,0.6,1810,185.8,63.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.43,0.01389,-2.2059,10945,11944,,,-32090.35,-13795.54,-32090.35,,,dqn,retraso
vecinos,42,20,62,5.00e-04,5.4,1844,4.88,16.75,2.95,14,-2267.4,-3.085,-9.248,618,421,196,0.553,1811,182.6,62.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.3983,0.01393,-2.2457,11563,12562,15.08,4.01,-28576.99,-11493.02,-28576.99,15.08,15.08,dqn,retraso
